"source,text,created_at,retweet_count,favorite_count,is_retweet,id_str"
"Twitter Web App,...We look forward to continuing our positive dialogue with China on a comprehensive Trade Deal and feel that the future between our two countries will be a very bright one!,08-01-2019 17:26:11,13201,69995,false,1156979450560548864"
"Twitter Web App,...during the talks the U.S. will start on September 1st putting a small additional Tariff of 10% on the remaining 300 Billion Dollars of goods and products coming from China into our Country. This does not include the 250 Billion Dollars already Tariffed at 25%...,08-01-2019 17:26:10,14674,70419,false,1156979446877962243"
"Twitter Web App,Our representatives have just returned from China where they had constructive talks having to do with a future Trade Deal. We thought we had a deal with China three months ago but sadly China decided to re-negotiate the deal prior to signing. More recently China agreed to...,08-01-2019 17:26:09,16913,81232,false,1156979443900067841"
"Twitter for iPhone,China Iran &amp; other foreign countries are looking at the Democrat Candidates and ""drooling"" over the small prospect that they could be dealing with them in the not too distant future. They would be able to rip off our beloved USA like never before. With President Trump NO WAY!,08-01-2019 14:24:26,20028,84535,false,1156933712761753600"
"Twitter for iPhone,What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy and aggressive rate-cutting cycle which would keep pace with China The European Union and other countries around the world....,07-31-2019 20:41:17,15380,71716,false,1156666163310530560"
"Twitter for iPhone,China has lost 5 million jobs and two million manufacturing jobs due to the Trump Tariffs. Trumps got China back on its heels and the United States is doing great. @AndyPuzder @MariaBartiromo,07-30-2019 12:40:03,14539,60853,false,1156182666871549952"
"Twitter for iPhone,China is doing very badly worst year in 27 - was supposed to start buying our agricultural product now - no signs that they are doing so. That is the problem with China they just don't come through. Our Economy has become MUCH larger than the Chinese Economy is last 3 years....,07-30-2019 11:09:59,18896,95009,false,1156159999833513984"
"Twitter for iPhone,....countries that know how to play the game against the U.S. That's actually why the E.U. was formed....and for China until now the U.S. has been ""easy pickens."" The Fed has made all of the wrong moves. A small rate cut is not enough but we will win anyway!,07-29-2019 13:18:14,13853,67617,false,1155829890903617536"
"Twitter for iPhone,The E.U. and China will further lower interest rates and pump money into their systems making it much easier for their manufacturers to sell product. In the meantime and with very low inflation our Fed does nothing - and probably will do very little by comparison. Too bad!,07-29-2019 11:48:54,14535,60548,false,1155807406812782592"
"Twitter for iPhone,Apple will not be given Tariff waiver or relief for Mac Pro parts that are made in China. Make them in the USA no Tariffs!,07-26-2019 15:25:07,23706,108357,false,1154774656861257732"
"Twitter for iPhone,Apple will not be given Tariff wavers or relief for Mac Pro parts that are made in China. Make them in the USA no Tariffs!,07-26-2019 14:08:51,7744,32459,false,1154755462925099008"
"Twitter for iPhone,There may or may not be National Security concerns with regard to Google and their relationship with China. If there is a problem we will find out about it. I sincerely hope there is not!!!,07-26-2019 14:02:46,21221,96148,false,1154753932259991552"
"Twitter for iPhone,Farmers are starting to do great again after 15 years of a downward spiral. The 16 Billion Dollar China ""replacement"" money didn't exactly hurt!,07-23-2019 11:54:02,12110,59437,false,1153634372442107904"
"Twitter for iPhone,....with the U.S. and wishes it had not broken the original deal in the first place. In the meantime we are receiving Billions of Dollars in Tariffs from China with possibly much more to come. These Tariffs are paid for by China devaluing &amp; pumping not by the U.S. taxpayer!,07-15-2019 10:43:20,17005,92841,false,1150717475421663233"
"Twitter for iPhone,China's 2nd Quarter growth is the slowest it has been in more than 27 years. The United States Tariffs are having a major effect on companies wanting to leave China for non-tariffed countries. Thousands of companies are leaving. This is why China wants to make a deal....,07-15-2019 10:43:19,20812,109074,false,1150717474624692224"
"Twitter for iPhone,.....if Mexico produces (which I think they will). Biggest part of deal with Mexico has not yet been revealed! China is similar except they devalue currency &amp; subsidize companies to lessen effect of 25% Tariffs. So far little effect to consumers. Companies will relocate to U.S.,07-12-2019 12:48:03,10001,50049,false,1149661698829234176"
"Twitter for iPhone,Mexico is doing great at the Border but China is letting us down in that they have not been buying the agricultural products from our great Farmers that they said they would. Hopefully they will start soon!,07-11-2019 14:04:16,11509,50408,false,1149318492711264257"
"Twitter for iPhone,Joe Biden is a reclamation project. Some things are just not salvageable. China and other countries that ripped us off for years are begging for him. He deserted our military our law enforcement and our healthcare. Added more debt than all other Presidents combined. Won't win!,07-06-2019 12:45:50,29363,130535,false,1147486815160610817"
"Twitter for iPhone,China and Europe playing big currency manipulation game and pumping money into their system in order to compete with USA. We should MATCH or continue being the dummies who sit back and politely watch as other countries continue to play their games - as they have for many years!,07-03-2019 14:21:52,17333,69302,false,1146423819906748416"
