Date,Price_mxn
6/14/2018,20.8905
6/13/2018,20.6425
6/12/2018,20.7161
6/11/2018,20.593
6/8/2018,20.2895
6/7/2018,20.4785
6/6/2018,20.3012
6/5/2018,20.4605
6/4/2018,20.077
6/1/2018,19.9427
5/31/2018,19.9135
5/30/2018,19.727
5/29/2018,19.836
5/28/2018,19.5955
5/25/2018,19.5477
5/24/2018,19.573
5/23/2018,19.6325
5/22/2018,19.7735
5/21/2018,19.819
5/18/2018,19.954
5/17/2018,19.7368
5/16/2018,19.5723
5/15/2018,19.695
5/14/2018,19.6241
5/11/2018,19.425
5/10/2018,19.2255
5/9/2018,19.5715
5/8/2018,19.5695
5/7/2018,19.466
5/4/2018,19.2683
5/3/2018,19.0625
5/2/2018,19.089
5/1/2018,18.9505
4/30/2018,18.7135
4/27/2018,18.618
4/26/2018,18.815
4/25/2018,18.8475
4/24/2018,18.8195
4/23/2018,18.944
4/20/2018,18.528
4/19/2018,18.4435
4/18/2018,18.09
4/17/2018,18.048
4/16/2018,18.012
4/13/2018,18.0452
4/12/2018,18.189
4/11/2018,18.2294
4/10/2018,18.2665
4/9/2018,18.3514
4/6/2018,18.2892
4/5/2018,18.2057
4/4/2018,18.1
4/3/2018,18.2181
4/2/2018,18.2475
3/30/2018,18.16
3/29/2018,18.187
3/28/2018,18.304
3/27/2018,18.381
3/26/2018,18.3371
3/23/2018,18.5187
3/22/2018,18.6344
3/21/2018,18.4365
3/20/2018,18.7673
3/19/2018,18.7069
3/16/2018,18.6898
3/15/2018,18.6999
3/14/2018,18.5845
3/13/2018,18.6062
3/12/2018,18.5877
3/9/2018,18.608
3/8/2018,18.6605
3/7/2018,18.714
3/6/2018,18.7387
3/5/2018,18.7962
3/2/2018,18.8
3/1/2018,18.8403
2/28/2018,18.8403
2/27/2018,18.8447
2/26/2018,18.6785
2/23/2018,18.535
2/22/2018,18.611
2/21/2018,18.8375
2/20/2018,18.7072
2/19/2018,18.534
2/16/2018,18.519
2/15/2018,18.5012
2/14/2018,18.587
2/13/2018,18.6635
2/12/2018,18.603
2/9/2018,18.71
2/8/2018,18.896
2/7/2018,18.798
2/6/2018,18.604
2/5/2018,18.779
2/2/2018,18.5983
2/1/2018,18.349
1/31/2018,18.6
1/30/2018,18.771
1/29/2018,18.612
1/26/2018,18.4844
1/25/2018,18.605
1/24/2018,18.5005
1/23/2018,18.694
1/22/2018,18.6842
1/19/2018,18.613
1/18/2018,18.607
1/17/2018,18.7147
1/16/2018,18.7705
1/15/2018,18.8555
1/12/2018,19.04
1/11/2018,19.2705
1/10/2018,19.291
1/9/2018,19.2387
1/8/2018,19.225
1/5/2018,19.181
1/4/2018,19.2895
1/3/2018,19.351
1/2/2018,19.5413
1/1/2018,19.66
12/29/2017,19.653
12/28/2017,19.7163
12/27/2017,19.69
12/26/2017,19.867
12/25/2017,19.7401
12/22/2017,19.732
12/21/2017,19.466
12/20/2017,19.2065
12/19/2017,19.2085
12/18/2017,19.082
12/15/2017,19.1315
12/14/2017,19.1535
12/13/2017,19.0128
12/12/2017,19.173
12/11/2017,19.058
12/8/2017,18.933
12/7/2017,18.972
12/6/2017,18.866
12/5/2017,18.7575
12/4/2017,18.6115
12/1/2017,18.6259
11/30/2017,18.631
11/29/2017,18.567
11/28/2017,18.543
11/27/2017,18.5848
11/24/2017,18.575
11/23/2017,18.6215
11/22/2017,18.642
11/21/2017,18.7745
11/20/2017,18.9937
11/17/2017,18.914
11/16/2017,19.059
11/15/2017,19.251
11/14/2017,19.1675
11/13/2017,19.1295
11/10/2017,19.1125
11/9/2017,19.0395
11/8/2017,19.09
11/7/2017,19.1553
11/6/2017,19.0235
11/3/2017,19.2025
11/2/2017,18.9849
11/1/2017,19.068
10/31/2017,19.149
10/30/2017,19.2405
10/27/2017,19.135
10/26/2017,19.206
10/25/2017,19.0405
10/24/2017,19.2325
10/23/2017,19.079
10/20/2017,18.99
10/19/2017,18.808
10/18/2017,18.862
10/17/2017,18.771
10/16/2017,19.035
10/13/2017,18.915
10/12/2017,18.9075
10/11/2017,18.7095
10/10/2017,18.8295
10/9/2017,18.673
10/6/2017,18.5533
10/5/2017,18.4945
10/4/2017,18.268
10/3/2017,18.217
10/2/2017,18.2314
